timestamp,dpid,bytes_per_sec,packets_per_sec,duration_avg,flow_count,byte_total,packet_total,label
2026-05-13 16:11:15,3,14525925217.6,1051013.2,1402.0,1,72629626088,5255066,3
2026-05-13 16:11:15,4,14525925323.2,1051014.8,1402.0,1,72629626616,5255074,3
2026-05-13 16:11:20,1,665074516.4,16453.8,1407.0,1,75955649680,5337348,3
2026-05-13 16:11:20,2,664956977.6,16450.0,1407.0,1,75956822956,5337354,3
2026-05-13 16:11:20,3,665087219.2,16453.2,1407.0,1,75955062184,5337332,3
2026-05-13 16:11:20,4,665087113.6,16451.6,1407.0,1,75955062184,5337332,3
2026-05-13 16:11:25,1,677157104.0,16267.2,1412.0,1,79341435200,5418684,3
2026-05-13 16:11:25,2,676922448.8,16266.0,1412.0,1,79341435200,5418684,3
2026-05-13 16:11:25,3,677274603.2,16270.4,1412.0,1,79341435200,5418684,3
2026-05-13 16:11:25,4,677274603.2,16270.4,1412.0,1,79341435200,5418684,3
2026-05-13 16:11:31,1,656098065.2,16267.8,1418.0,1,82621925526,5500023,3
2026-05-13 16:11:31,2,656373317.2,16269.8,1418.0,1,82623301786,5500033,3
2026-05-13 16:11:31,3,655980579.2,16264.8,1418.0,1,82621338096,5500008,3
2026-05-13 16:11:31,4,655980711.2,16266.8,1418.0,1,82621338756,5500018,3
2026-05-13 16:11:36,1,645378355.6,16466.6,1423.0,1,85848817304,5582356,3
2026-05-13 16:11:36,2,645272532.8,16464.8,1423.0,1,85849664450,5582357,3
2026-05-13 16:11:36,3,645221800.0,16464.0,1423.0,1,85847447096,5582328,3
2026-05-13 16:11:36,4,645221760.4,16463.4,1423.0,1,85847447558,5582335,3
2026-05-13 16:11:41,1,687271144.0,15969.2,1428.0,1,89285173024,5662202,3
2026-05-13 16:11:41,2,687427805.2,15973.4,1428.0,1,89286803476,5662224,3
2026-05-13 16:11:41,3,687401754.4,15973.6,1428.0,1,89284455868,5662196,3
2026-05-13 16:11:41,4,687401635.6,15971.8,1428.0,1,89284455736,5662194,3
2026-05-13 16:11:46,1,695937878.8,16712.6,1433.0,1,92764862418,5745765,3
2026-05-13 16:11:46,2,695611788.4,16708.2,1433.0,1,92764862418,5745765,3
2026-05-13 16:11:46,3,696081310.0,16713.8,1433.0,1,92764862418,5745765,3
2026-05-13 16:11:46,4,696081336.4,16714.2,1433.0,1,92764862418,5745765,3
2026-05-13 16:11:51,1,682116090.4,16610.0,1438.0,1,96175442870,5828815,3
2026-05-13 16:11:51,2,682416130.0,16614.6,1438.0,1,96176943068,5828838,3
2026-05-13 16:11:51,3,748756916.4,18154.6,1438.0,1,96508647000,5836538,3
2026-05-13 16:11:51,4,748756995.6,18155.8,1438.0,1,96508647396,5836544,3
2026-05-13 16:11:56,1,740288008.8,18269.6,1443.0,1,99876882914,5920163,3
2026-05-13 16:11:56,2,740066134.8,18264.6,1443.0,1,99877273742,5920161,3
2026-05-13 16:11:56,3,673547349.2,16721.8,1443.0,1,99876383746,5920147,3
2026-05-13 16:11:56,4,673547428.4,16723.0,1443.0,1,99876384538,5920159,3
2026-05-13 16:12:01,1,670407409.6,16646.4,1448.0,1,103228919962,6003395,3
2026-05-13 16:12:01,2,670329244.0,16646.8,1448.0,1,103228919962,6003395,3
2026-05-13 16:12:01,3,670507243.2,16649.6,1448.0,1,103228919962,6003395,3
2026-05-13 16:12:01,4,670507084.8,16647.2,1448.0,1,103228919962,6003395,3
2026-05-13 16:12:06,1,677908052.4,16752.2,1453.0,1,106618460224,6087156,3
2026-05-13 16:12:06,2,678220755.2,16755.6,1453.0,1,106620023738,6087173,3
2026-05-13 16:12:06,3,677790592.8,16749.6,1453.0,1,106617872926,6087143,3
2026-05-13 16:12:06,4,677790606.0,16749.8,1453.0,1,106617872992,6087144,3
2026-05-13 16:12:11,1,690247739.6,16464.6,1459.0,1,110069698922,6169479,3
2026-05-13 16:12:11,2,689935036.8,16461.2,1459.0,1,110069698922,6169479,3
2026-05-13 16:12:11,3,690365199.2,16467.2,1458.0,1,110069698922,6169479,3
2026-05-13 16:12:11,4,690365186.0,16467.0,1458.0,1,110069698922,6169479,3
2026-05-13 16:12:17,1,704376713.2,16214.6,1464.0,1,113591582488,6250552,3
2026-05-13 16:12:17,2,704611487.2,16217.6,1464.0,1,113592756358,6250567,3
2026-05-13 16:12:17,3,704207165.2,16212.6,1464.0,1,113590734748,6250542,3
2026-05-13 16:12:17,4,704207257.6,16214.0,1464.0,1,113590735210,6250549,3
2026-05-13 16:12:22,1,664759354.0,16886.6,1469.0,1,116915379258,6334985,3
